NEXO,Nexo,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206,$0.0586,-10.32%,"$3,575,056"
THETA,Theta Token,0x3883f5e181fccaf8410fa61e12b59bad963fb645,$0.0461,-6.43%,"$1,339,951"
QASH,QASH,0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6,$0.0894,-3.75%,"$292,787"
CRO,Crypto.com Chain,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,$0.0138,-7.77%,"$609,997"
QKC,QuarkChain Token,0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664,$0.0339,-10.23%,"$14,750,881"
LOOM,Loom,0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0,$0.0435,-7.66%,"$1,298,797"
MGO,MobileGo,0x40395044Ac3c0C57051906dA938B54BD6557F212,$0.2673,-5.46%,"$8,225,918"
OSA,OSAToken,0xc6abf3c09341741ac6041b0b08195701bdfd460c,$0.0303,-5.27%,"$1,225,119"
VERI,Veritaseum,0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,$11.9203,-6.53%,"$1,428,021"
FUN,FunFair,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,$0.0045,-6.44%,"$686,093"
NULS,Nuls,0xb91318f35bdb262e9423bc7c7c2a3a93dd93c92c,$0.3965,-5.60%,"$7,846,167"
ENJ,EnjinCoin,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,$0.0327,-3.99%,"$796,243"
AGI,SingularityNET,0x8eb24319393716668d768dcec29356ae9cffe285,$0.0461,-4.77%,"$207,134"
BHPC,BHPCash,0xee74110fb5a1007b06282e0de5d73a61bf41d9cd,$0.7080,1.96%,$0
NAS,Nebulas,0x5d65D971895Edc438f465c17DB6992698a52318D,$0.5402,-7.26%,"$2,537,444"
DGTX,DigitexFutures,0x1c83501478f1320977047008496dacbd60bb15ef,$0.0332,-5.20%,"$323,152"
EDO,Eidoo,0xced4e93198734ddaff8492d525bd258d49eb388e,$0.8254,-6.00%,"$323,171"
CREDO,Credo Token,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,$0.0429,-6.58%,$483
EDR,Endor Protocol Token,0xc528c28fec0a90c083328bc45f587ee215760a0f,$0.0322,-8.77%,"$2,160,249"
WIC,WaykiCoin,0x4f878c0852722b0976a955d68b376e4cd4ae99e5,$0.1214,-3.10%,"$422,667"
KIN,Kin,0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,$0.0000,1.91%,"$236,792"
CMT,CyberMiles,0xf85feea2fdd81d51177f6b8f35f0e6734ce45f5f,$0.0282,1.19%,"$6,146,007"
KNC,KyberNetwork,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,$0.1347,-8.00%,"$2,856,723"
ENG,Enigma,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4,$0.2777,-4.41%,"$307,796"
CENNZ,Centrality Token,0x1122b6a0e00dce0563082b6e2953f3a943855c1f,$0.0246,--,$0
SAN,SAN,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,$0.3100,-6.01%,"$16,334"
DRGN,Dragon,0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,$0.0814,-3.69%,"$285,823"
ETHOS,Ethos,0x5af2be193a6abca9c8817001f45744777db30756,$0.2088,-2.97%,"$4,316,537"
STORJ,Storj,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,$0.1376,-10.53%,"$867,744"
DENT,DENT,0x3597bfd533a99c9aa083587b074434e61eb0a258,$0.0011,-5.21%,"$1,299,591"
RNT,OneRoot Network,0xff603f43946a3a28df5e6a73172555d8c8b02386,$0.0658,-2.03%,"$270,013"
CVC,Civic,0x41e5560054824ea6b0732e656e3ad64e20e94e45,$0.0525,-4.53%,"$394,493"
MXM,Maximine Coin,0x6a750d255416483bec1a31ca7050c6dac4263b57,$0.0118,-0.29%,"$964,991"
SALT,Salt,0x4156D3342D5c385a87D264F90653733592000581,$0.2208,-8.24%,"$1,032,875"
BRD,Bread,0x558ec3152e2eb2174905cd19aea4e34a23de9ad6,$0.1985,-7.51%,"$152,184"
SXDT,Spectre.ai D-Token,0x12b306fa98f4cbb8d4457fdff3a0a0a56f07ccdf,$0.2120,16.64%,"$8,190"
SUB,Substratum,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,$0.0447,-10.52%,"$208,350"
SRN,SIRIN,0x68d57c9a1c35f63e2c83ee8e49a64e9d70528d25,$0.0340,-7.18%,"$558,188"
QNT,Quant,0x4a220e6096b25eadb88358cb44068a3248254675,$1.7076,-14.32%,"$1,391,415"
AUTO,CUBE,0x622dFfCc4e83C64ba959530A5a5580687a57581b,$0.0024,-0.26%,"$425,360"
EDG,Edgeless,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,$0.1652,-4.50%,"$172,495"
REQ,Request,0x8f8221afbb33998d8584a2b05749ba73c37a938a,$0.0225,-10.40%,"$547,250"
OCN,OCoin,0x4092678e4e78230f46a1534c0fbc8fa39780892b,$0.0028,-7.84%,"$3,058,521"
TOMO,Tomocoin,0x8b353021189375591723e7384262f45709a3c3dc,$0.2745,-4.48%,"$321,052"
ICN,ICONOMI,0x888666CA69E0f178DED6D75b5726Cee99A87D698,$0.1608,-1.37%,$895
TCT,TokenClub Token,0x4824a7b64e3966b0133f4f4ffb1b9d6beb75fff7,$0.0328,3.39%,"$482,226"
NEC,Ethfinex Nectar Token,0xcc80c051057b774cd75067dc48f8987c4eb97a5e,$0.1915,-18.06%,$85
CND,Cindicator,0xd4c435f5b09f855c3317c8524cb1f586e42795fa,$0.0109,-8.42%,"$197,679"
LOC,LockTrip,0x5e3346444010135322268a4630d2ed5f8d09446c,$1.0422,0.89%,"$140,869"
CTXC,Cortex Coin,0xea11755ae41d889ceec39a63e6ff75a02bc1c00d,$0.1035,-1.44%,"$1,292,105"
RLC,RLC,0x607F4C5BB672230e8672085532f7e901544a7375,$0.1929,-5.26%,"$171,436"
GVT,Genesis Vision,0x103c3A209da59d3E7C4A89307e66521e081CFDF0,$3.4857,-8.71%,"$1,882,896"
XYO,XY Oracle,0x55296f69f40ea6d20e478533c15a6b08b654e758,$0.0026,-2.56%,"$30,893"
